url,title,author,date_text,engagement_text,raw_text,type
,今年鱼获满满啊,村里的孩子,2025-02-12,,"今年鱼获满满啊
村里的孩子
2025-02-12",xiaohongshu_search
,澳洲探钓。,早稻田大学钓鱼专业教授,2025-05-11,,"澳洲探钓。
早稻田大学钓鱼专业教授
2025-05-11",xiaohongshu_search
,我的钓鱼日记 | 游钓塔斯马尼亚鱼获合集,充满疑问的一文,2025-02-03,,"我的钓鱼日记 | 游钓塔斯马尼亚鱼获合集
充满疑问的一文
2025-02-03",xiaohongshu_search
,flinders pier 鱼太多！,moomoo,2025-09-29,,"flinders pier 鱼太多！
moomoo
2025-09-29",xiaohongshu_search
,塔州的冬天该钓淡水啦 但放的鱼也太小了😂,爱打龟🐢的拍崽,2025-04-25,,"塔州的冬天该钓淡水啦 但放的鱼也太小了😂
爱打龟🐢的拍崽
2025-04-25",xiaohongshu_search
,下周去塔州钓鱼带点什么土特产去,土豪桑,02-03,,"下周去塔州钓鱼带点什么土特产去
土豪桑
02-03",xiaohongshu_search
,在塔州轻松✅钓鱼技巧,61 💚(成融约课),2024-01-06,,"在塔州轻松✅钓鱼技巧
61 💚(成融约课)
2024-01-06",xiaohongshu_search
,塔州朗赛斯顿找钓鱼搭子｜周五周六日都🉑🎣,猪脑壳,2025-12-10,,"塔州朗赛斯顿找钓鱼搭子｜周五周六日都🉑🎣
猪脑壳
2025-12-10",xiaohongshu_search
,鱿鱼杆拉澳三,爱学习的路亚小学生,03-03,,"鱿鱼杆拉澳三
爱学习的路亚小学生
03-03",xiaohongshu_search
,🎣塔州钓友们，球球留下你们的最佳钓点！,糯米甜酒,2024-04-10,,"🎣塔州钓友们，球球留下你们的最佳钓点！
糯米甜酒
2024-04-10",xiaohongshu_search
