id,jurisdiction,guide_name,spot_name,spot_type,group,scope,source_kind,official_owner,official_url,latitude,longitude,coordinate_role,depth_m,planner_eligible,map_eligible,role,score_impact,review_status,notes
nt_official_offshore:001:fad_1,NT,NT official artificial reefs and FADs,FAD 1,fad,pelagic FAD,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/fish-aggregating-device,-12.158333,130.747217,official_coordinate,,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:002:fad_2,NT,NT official artificial reefs and FADs,FAD 2,fad,pelagic FAD,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/fish-aggregating-device,-12.148883,130.747217,official_coordinate,,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:003:fad_3,NT,NT official artificial reefs and FADs,FAD 3,fad,pelagic FAD,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/fish-aggregating-device,-12.171667,130.641667,official_coordinate,,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:004:fad_4,NT,NT official artificial reefs and FADs,FAD 4,fad,pelagic FAD,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/fish-aggregating-device,-12.111117,130.568883,official_coordinate,,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:005:lee_point_wide,NT,NT official artificial reefs and FADs,Lee Point Wide,artificial_reef,engineered reef complex,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.16805,130.783883,official_coordinate,28,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:006:gutters_central,NT,NT official artificial reefs and FADs,Gutters central,artificial_reef,engineered reef complex,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.15765,130.577583,official_coordinate,28,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:007:dundee_wide,NT,NT official artificial reefs and FADs,Dundee Wide,artificial_reef,engineered reef complex,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.74075,130.173117,official_coordinate,16,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:008:adelaide_river_mouth,NT,NT official artificial reefs and FADs,Adelaide River Mouth,artificial_reef,engineered reef complex,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.12645,131.192417,official_coordinate,16,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:009:marchart_3,NT,NT official artificial reefs and FADs,Marchart 3,artificial_reef,Fenton Patches reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.17125,130.67725,official_coordinate,25,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:010:bus_stop_reef,NT,NT official artificial reefs and FADs,Bus Stop Reef,artificial_reef,Fenton Patches reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.18605,130.686083,official_coordinate,25,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:011:pipeline_reef,NT,NT official artificial reefs and FADs,Pipeline Reef,artificial_reef,Fenton Patches reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.194483,130.673167,official_coordinate,25,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:012:galah_and_heron,NT,NT official artificial reefs and FADs,Galah and Heron,artificial_reef,Fenton Patches reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.161683,130.679167,official_coordinate,25,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:013:cockatoo_and_mudlark,NT,NT official artificial reefs and FADs,Cockatoo and Mudlark,artificial_reef,Fenton Patches reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.168283,130.6622,official_coordinate,25,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:014:amanda_lee,NT,NT official artificial reefs and FADs,Amanda Lee,artificial_reef,Fenton Patches reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.161517,130.678683,official_coordinate,25,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:015:antares_and_steel_barge,NT,NT official artificial reefs and FADs,Antares and Steel Barge,artificial_reef,Fenton Patches reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.165617,130.689383,official_coordinate,25,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:016:amelia_c_and_merindah_pearl,NT,NT official artificial reefs and FADs,Amelia C and Merindah Pearl,artificial_reef,Fenton Patches reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.1635,130.69015,official_coordinate,25,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:017:ham_luong,NT,NT official artificial reefs and FADs,Ham Luong,artificial_reef,Darwin Harbour artificial reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.4775,130.798333,official_coordinate,24,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:018:john_holland_barge,NT,NT official artificial reefs and FADs,John Holland Barge,artificial_reef,Darwin Harbour artificial reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.475833,130.798,official_coordinate,24,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:019:medkhanun_3,NT,NT official artificial reefs and FADs,Medkhanun 3,artificial_reef,Darwin Harbour artificial reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.4785,130.802417,official_coordinate,20,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:020:bottlewasher_reef,NT,NT official artificial reefs and FADs,Bottlewasher Reef,artificial_reef,Lee Point artificial reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.30265,130.86275,official_coordinate,15,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:021:truck_tipper_reef,NT,NT official artificial reefs and FADs,Truck Tipper Reef,artificial_reef,Lee Point artificial reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.29965,130.8395,official_coordinate,15,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
nt_official_offshore:022:rick_mills_reef,NT,NT official artificial reefs and FADs,Rick Mills Reef,artificial_reef,Lee Point artificial reef,offshore_boat,official_coordinate_list,Northern Territory Government,https://nt.gov.au/marine/recreational-fishing/when-and-where-to-fish/rules-for-fishing-in-specific-areas,-12.307517,130.814533,official_coordinate,15,False,True,offshore_boat_fishing_reference,none,check_weather_safety_and_closures_before_trip,NT Government coordinate. Offshore/boat-only reference; not a shore fishing spot.
